priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
CHAUD;108;FR Plomberie;15-17, Rue du Moulin Rouge, 28630 Nogent-le-Phaye, France;02 37 27 80 18;+33 2 37 27 80 18;;Non;4.9;418;10;plombier;Chartres;10+ photos API (excellent) / 418 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 12:00, 13:00 – 17:30 | mardi: 08:00 – 12:00, 13:00 – 17:30 | mercredi: 08:00 – 12:00, 13:00 – 17:30;https://maps.google.com/?cid=11483694429251998575;ChIJj3HPfdYN5EcRb5OyfD1HXp8;;;;2026-05-08
CHAUD;103;SAS GAMARY Recherche de fuite, rénovation/dépannage d'urgence 24h/24;12 Rue de la Bienvenue, 45000 Orléans, France;06 70 82 55 58;+33 6 70 82 55 58;;Non;4.9;157;10;plombier;Orléans;10+ photos API (excellent) / 157 avis (très bon) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=9496000039725891469;ChIJxRiWGsjl5EcRjf_0YrmRyIM;;;;2026-05-08
CHAUD;103;Aymeric Plomberie Chauffage;19 Rue du Vallon, 28500 Vernouillet, France;07 61 17 52 66;+33 7 61 17 52 66;;Non;4.9;117;10;plombier;Dreux;10+ photos API (excellent) / 117 avis (très bon) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=10863347531231988237;ChIJE1xhrUNV4UcRDQqz7gVdwpY;;;;2026-05-08
CHAUD;100;suntech;1 Bd Pierre Favreau, 36100 Issoudun, France;02 54 49 46 01;+33 2 54 49 46 01;;Non;4.2;39;10;plombier;Issoudun;10+ photos API (excellent) / 39 avis (bon) / Aucun site web → opportunité maximale / Note 4.2/5 (idéale) / Horaires renseignés;lundi: 09:00 – 12:00, 13:00 – 17:00 | mardi: 09:00 – 12:00, 13:00 – 17:00 | mercredi: 09:00 – 12:00, 13:00 – 17:00;https://maps.google.com/?cid=13203633314473495152;ChIJd563qTH9-kcRcMq0LYu6PLc;;;;2026-05-08
CHAUD;100;BMS-41 climatisation plomberie chauffage électricité;19 Av. de l'Hôtel de Ville, 41600 Lamotte-Beuvron, France;02 54 96 29 21;+33 2 54 96 29 21;;Non;4.2;42;10;plombier;Lamotte-Beuvron;10+ photos API (excellent) / 42 avis (bon) / Aucun site web → opportunité maximale / Note 4.2/5 (idéale) / Horaires renseignés;lundi: 08:00 – 12:00, 13:30 – 17:30 | mardi: 08:00 – 12:00, 13:30 – 17:30 | mercredi: 08:00 – 12:00, 13:30 – 17:30;https://maps.google.com/?cid=10032106662297627646;ChIJS2YRouEn5UcR_msUY9szOYs;;;;2026-05-08
CHAUD;100;Entreprise Pouchain;16 route des Epourneaux, 18200 Saint-Georges-de-Poisieux, France;06 24 01 97 49;+33 6 24 01 97 49;;Non;4.6;45;10;peintre;Saint-Amand-Montrond;10+ photos API (excellent) / 45 avis (bon) / Aucun site web → opportunité maximale / Note 4.6/5 (idéale) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=4054495855565538958;ChIJryyTyqB9-kcRjgZHvn92RDg;;;;2026-05-08
CHAUD;96;Plomberie Vendomoise;10 Rue du 11 Novembre, 41100 Azé, France;06 10 42 39 11;+33 6 10 42 39 11;;Non;4.9;39;10;plombier;Vendôme;10+ photos API (excellent) / 39 avis (bon) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 07:30 – 19:30 | mardi: 07:30 – 19:30 | mercredi: 07:30 – 19:30;https://maps.google.com/?cid=12829755151613153800;ChIJM9qyXAsT40cRCNIj31VyDLI;;;;2026-05-08
CHAUD;93;Gien Kit Piscine;150 Rte de Bourges, 45500 Poilly-lez-Gien, France;02 38 05 00 82;+33 2 38 05 00 82;;Non;4.5;31;10;pisciniste;Gien;10+ photos API (excellent) / 31 avis (correct) / Aucun site web → opportunité maximale / Note 4.5/5 (idéale) / Horaires renseignés;lundi: Fermé | mardi: 09:30 – 12:00, 14:30 – 18:00 | mercredi: 09:30 – 12:00, 14:30 – 18:00;https://maps.google.com/?cid=13771302337652763155;ChIJydUE05le5UcRE6pMOoN-Hb8;;;;2026-05-08
CHAUD;90;Auberger Peinture & Sols;19 All. Napoléon III, 18000 Bourges, France;02 48 21 17 51;+33 2 48 21 17 51;;Non;4.6;21;10;peintre;Bourges;10+ photos API (excellent) / 21 avis (correct) / Aucun site web → opportunité maximale / Note 4.6/5 (idéale);;https://maps.google.com/?cid=2239339901307256083;ChIJa7SnQ-qW-kcRE_3GlMa7Ex8;;;;2026-05-08
CHAUD;89;MONGIS PLOMBERIE;4 Rue de Beauverger, 37100 Tours, France;07 69 53 59 25;+33 7 69 53 59 25;;Non;5;21;10;plombier;Tours;10+ photos API (excellent) / 21 avis (correct) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 06:00 – 21:00 | mardi: 06:00 – 21:00 | mercredi: 06:00 – 21:00;https://maps.google.com/?cid=6939014482290746439;ChIJyVBKoY7V_EcRRyQ7POhUTGA;;;;2026-05-08
